accession_number,artist,title,date,medium,dimensions,edition,matsize,location,notes,photo,condition,value,source,reference,website,image_file_name
CC.2016.GSP.64,"McNeil, Robert H.",Joe Louis & Dr. Marchell ,,Gelatin silver print,7.375 x 9.375 in. ,,,,Permission info verso,,10/11/17,,,,,
CC.2016.GSP.65,"McNeil, Robert H.","Johnson's Store, Hampton, VA",1938,Gelatin silver print,7.25 x 9.5 in.,,,,Permission info verso,,10/11/17,,,,,
CC.2016.GSP.66,"McNeil, Robert H.",Lionel Hampton,,Gelatin silver print,7.625 x 9.75 in.,,,,Permission info verso,,10/11/17,,,,,
CC.2016.GSP.67,"McNeil, Robert H.",Make A Wish (Bronx Slave Market),1938,Gelatin silver print,7.5 x 9.625 in.,,,,Permission info verso,,10/11/17,,,,,
CC.2016.GSP.68,"McNeil, Robert H.","NACW Protesting G,A Lynchings ",1946,Gelatin silver print,7.5 x 9.5 in.,,,,Permission info verso,,10/11/17,,,,,
CC.2016.GSP.69,"McNeil, Robert H.","New Car, South Richmond, VA",1938,Gelatin silver print,9.75 x 7.125 in.,,,,Permission info verso,,10/11/17,,,,,
CC.2016.GSP.70,"McNeil, Robert H.",Robert McNeil with Camera ,,Gelatin silver print,9.0625 x 7.375 in.,,,,Permission info verso,,10/11/17,,,,,
CC.2016.GSP.71,"McNeil, Robert H.",Taking Tickets ,,Gelatin silver print,7.625 x 9.75 in.,,,,Permission info verso,,10/11/17,,,,,
CC.2016.BOOK.2,"McNeil, Robert H.",The Negro in Virginia (incl. McNeil work),1940,"Book, HB",5.5 x 8 in.,,,,"Hastings House, Publisher ",,10/11/17,,,,,
CC.2016.GSP.72,"McNeil, Robert H.",Two Women Talking ,,Gelatin silver print,7.5 x 9.625 in.,,,,Permission info verso,,10/11/17,,,,,
CC.2016.GSP.73,"McNeil, Robert H.","U Street Series, Republic Theatre ",1946,Gelatin silver print,7.75 x 9.625 in.,,,,Permission info verso,,10/11/17,,,,,
CC.2016.BOOK.3,"McNeil, Robert H.","Visual Journal, Willis & Lusaka (Incl. McNeil work)",1996,"Book, PB",10 x 9.3 in.,,,,Smithsonian institute ,,,,,,,
CC.2014.APP.10,"Medow, Cheryl",Great Blue Heron with Chicks,2014,Archival pigment print,9.5 x 7.5 in.,5/25,,,,,10/9/17,$195,TPS,,http://www.cherylmedow.com/,
CC.2014.GSP.5,"Meeks, Raymond","Lara, Nova Scotia",2013,Gelatin silver print,11 x 8 in.,5/50,18 x 14,,"Title, date, and edition verso; LightWork, 2015 Print Program",,12/4/17,$300,Lightwork,,http://www.raymondmeeks.com/,
CC.2011.GSP.33,"Menuez, Doug","Heaven, Earth, Tequila #141, Tequila, Mexico",2004,Gelatin silver print,9.25 x 7.125 in.,,,,"Signature, title, date, and edition verso, Of This Earth Portfolio #2",,11/2/17,$375,list price,fotovision port 2,http://www.menuez.com/,
CC.2003.CP.5,"Meyerowitz, Joel","Bay/Sky, Provincetown",1992,Chromogenic print,9 x 11.375 in.,,16 x 20,,Signature and date verso; 11x14 paper,,11/13/17,"$2,000",telecon 2/4/04,Ariel Meyerowitz Gallery,http://www.joelmeyerowitz.com/,
CC.2017.APP.7,"Mezeul II, Mike",Twisted,2016,Archival pigment Print,16 x 24 in.,,,,TPS 2017 Print  Program,,,$195,Appraisal,PDNB Gallery,,
CC.2013.APP.39,"Michals, Duane",Good Morning Glory,2012,Archival pigment print,11 x 20 in.,28/100,,,"Signature and edition recto, mounted on 4 ply archival mat board, 2013 Master Print Ed",,10/16/17,,,,,
CC.2003.GSP.42,"Michals, Duane",New York (rain),1969,Gelatin silver print,6.75 x 10 in.,,16 x 20,,"14x11 paper, signature recto",,9/20/17,"$1,082",simil Robert Duval,Elke-Droscher Gal,,
CC.2019.APP.15,"Michna-Bales, Jeanine",,,,,,,,From the Through Darkness to Light Portfolio,,,$395,Appraisal,PDNB Gallery,https://www.jmbalesphotography.com/,
CC.2019.APP.16,"Michna-Bales, Jeanine",,,,,,,,From the Through Darkness to Light Portfolio,,,$395,Appraisal,PDNB Gallery,https://www.jmbalesphotography.com/,
CC.2019.APP.17,"Michna-Bales, Jeanine",,,,,,,,From the Through Darkness to Light Portfolio,,,$395,Appraisal,PDNB Gallery,https://www.jmbalesphotography.com/,
CC.2019.APP.18,"Michna-Bales, Jeanine",,,,,,,,From the Through Darkness to Light Portfolio,,,$395,Appraisal,PDNB Gallery,https://www.jmbalesphotography.com/,
CC.2019.APP.19,"Michna-Bales, Jeanine",,,,,,,,From the Through Darkness to Light Portfolio,,,$395,Appraisal,PDNB Gallery,https://www.jmbalesphotography.com/,
CC.2019.APP.20,"Michna-Bales, Jeanine",,,,,,,,From the Through Darkness to Light Portfolio,,,$395,Appraisal,PDNB Gallery,https://www.jmbalesphotography.com/,
CC.2019.APP.21,"Michna-Bales, Jeanine",,,,,,,,From the Through Darkness to Light Portfolio,,,$395,Appraisal,PDNB Gallery,https://www.jmbalesphotography.com/,
CC.2019.APP.22,"Michna-Bales, Jeanine",,,,,,,,From the Through Darkness to Light Portfolio,,,$395,Appraisal,PDNB Gallery,https://www.jmbalesphotography.com/,
CC.2019.APP.23,"Michna-Bales, Jeanine",,,,,,,,From the Through Darkness to Light Portfolio,,,$395,Appraisal,PDNB Gallery,https://www.jmbalesphotography.com/,
CC.2019.APP.24,"Michna-Bales, Jeanine",,,,,,,,From the Through Darkness to Light Portfolio,,,$395,Appraisal,PDNB Gallery,https://www.jmbalesphotography.com/,
CC.2019.APP.25,"Michna-Bales, Jeanine",,,,,,,,From the Through Darkness to Light Portfolio,,,$395,Appraisal,PDNB Gallery,https://www.jmbalesphotography.com/,
CC.2019.APP.26,"Michna-Bales, Jeanine",,,,,,,,From the Through Darkness to Light Portfolio,,,$395,Appraisal,PDNB Gallery,https://www.jmbalesphotography.com/,
CC.2011.GSP.34,"Miller, Wayne","Blues at the Maxwell Street Flea Market, Chicago",1946,Gelatin silver print,8.25 x 7.125 in.,,20 x 16,,Signature verso,,9/18/17,,,,,
CC.2016.APP.13,"Milligan, Bridget M.",Wren Day,,Archival pigment print,12 x 12 in.,1/20,,,"Signature, title, and edition recto; TPS member point",,11/29/17,,,,,
CC.2011.MM.3,"Mitchell, Blue",Perched,2009,Acrylic lift on birch,14 x 11 in.,,,,Signature verso,,12/18/17,,,,http://bluemitchell.com/,
CC.2014.APP.11,"Mitchell, Blue",The Illumination,2011,Archival pigment print,11 x 14 in.,3/30,,,"TPS 2011 Print Program, signature, title, and edition verso",,10/9/17,$195,TPS,,http://bluemitchell.com/,
CC.2019.APP.27,"Mizutani, Yoshinori",Yusurika 064,2014,Archival pigment print,12 x 8 in.,,,,Signed,,,$300,Appraisal,PDNB Gallery,https://www.yoshinori-mizutani.com/,
CC.2003.GSP.43,"Modica, Andrea","Treadwell, New York",1990,Gelatin silver print,9.875 x 8 in.,,20 x 16,,signed,,9/20/17,$450,same,Light Work Store,,
CC.2003.GSP.44,"Moore, Charles",Birmingham,1963,Gelatin silver print,13 x 9.1 in.,,20 x 24,,"14x11 paper, signed",,,$950,"sim MLK at rally,auction",Swann Gal 10/1/96,,
CC.2018.GSP.11,"Morath, Inge",Eleanor Roosevelt and Adlai Stevenson,1961,Gelatin silver print,13.5 x 9 3/8 in.,,,,Signed on photo margin,,,$800,Appraisal,PDNB Gallery,,
CC.2003.GSP.45,"Morath, Inge","Encounter on Times Square, New York",1957,Gelatin silver print,8.8 x 13.1 in.,,20 x 24,,"11x14 paper, signed",,,"$3,146",same. Gallery quote via email,Galerie Esther Woerdehoff,,
CC.2020.GSP.5,"Morgan, Barbara",Spring on Madison Square,1946,Gelatin silver print,10.1 x 12.2 in.,,,,Heritage Auctions lot # 97063,,,,,,,
CC.2011.GSP.35,"Morgan, Barbara",Studio Shoot at Mirror,1938-46,Gelatin silver print,10.5 x 12.25 in.,,16 x 20,,,,11/8/17,,,,,
CC.2020.GSP.6,"Morgan, Barbara",Wind Bee Honeycomb Skyscraper,1975,Gelatin silver print,9.5 x 6.9 in.,,,,Heritage Auctions lot # 97064,,,,,,,
CC.2011.APP.27,"Moser, Kat",Magical Entanglements,,Archival pigment print,9.75 x 15 in.,,16.25 x 21.5,,Embossed with artist stamp on mat recto,,10/16/17,,,,http://katmoser.com/,
CC.2016.APP.14,"Muholi, Zanele ","Lerato Dumse, Syracuse, New York ",2015,Archival pigment print,14 x 9.625 in.,7/50,,,Signature and edition verso; light work fine print,,11/29/17,,,,,
CC.2003.CP.6,"Neill, William",Twilight Surf at Big Sur,91/00,Lightjet Crystal archive color print,9 x 7 in.,,20 x 16,,,,10/2/17,$275,"artist quote, Feb 04",bill@williamneill.com,,
CC.2003.GSP.46,"Newman, Richard",Dining Spot,1998,Selenium toned gelatin silver print,4.75x11.75 in.,14/25,16 x 20,,"Signature, title, and edition mat recto, limited edition",,9/20/17,$300,"artist quote, Feb 04",richardnewman@calumetphoto.com,,
CC.2017.GSP.10,"Nibblink, Dan",Comparisons,,Gelatin silver print,11 x 14 in.,,,,"Heritage Auction, Lot #73640, signature verso",,9/25/17,$135,Appraisal,PDNB Gallery,,
CC.2003.GSP.47,"Noggle, Anne",Myself as a Pilot,82/94,Gelatin silver print,7.75x 10.0625 in,,20 x 16,,"Signature, title, and date verso, image on cover of her book Silver Lining",,9/20/17,$675,simil Agnes (shower) website image,Andrew Smith Gallery,,
CC.2019.GSP.13,"Nowinski, Ira",,,Gelatin silver print,18 x 12 in.,,,,,,,$70,Appraisal,PDNB Gallery,,
CC.2019.GSP.14,"Nowinski, Ira",,,Gelatin silver print,18 x 12 in.,,,,,,,$70,Appraisal,PDNB Gallery,,
CC.2019.GSP.15,"Nowinski, Ira",,,Gelatin silver print,18 x 12 in.,,,,,,,$70,Appraisal,PDNB Gallery,,
CC.2019.GSP.16,"Nowinski, Ira",,,Gelatin silver print,18 x 12 in.,,,,,,,$70,Appraisal,PDNB Gallery,,
CC.2019.GSP.17,"Nowinski, Ira",,,Gelatin silver print,18 x 12 in.,,,,,,,$70,Appraisal,PDNB Gallery,,
CC.2019.GSP.18,"Nowinski, Ira",,,Gelatin silver print,18 x 12 in.,,,,,,,$70,Appraisal,PDNB Gallery,,
CC.2019.GSP.19,"Nowinski, Ira",,,Gelatin silver print,18 x 12 in.,,,,,,,$70,Appraisal,PDNB Gallery,,
CC.2019.GSP.20,"Nowinski, Ira",,,Gelatin silver print,18 x 12 in.,,,,,,,$70,Appraisal,PDNB Gallery,,
CC.2019.GSP.21,"Nowinski, Ira",,,Gelatin silver print,18 x 12 in.,,,,,,,$70,Appraisal,PDNB Gallery,,
CC.2019.GSP.22,"Nowinski, Ira",,,Gelatin silver print,18 x 12 in.,,,,,,,$70,Appraisal,PDNB Gallery,,
